Model	releaseDate	MaxResolution	MinResolution	effectivePixels	zoomWide	ZoomTele	normalFocus	macroFocus	storageIncluded	weight	dimensions	Price
Sony DSC-T5	2005	2592	2048	5	38	114	50	8	32	139	94	399
Sony DSC-T7	2005	2592	2048	5	38	114	50	8	32	134	92	149
Sony DSC-T9	2005	2816	2048	6	38	114	50	1	32	185	90	429
Sony DSC-W5	2005	2592	2048	5	38	114	50	6	32	250	91	429
Sony DSC-W7	2005	3072	2592	7	38	114	50	6	32	250	91	149
Canon PowerShot A420	2006	2272	1600	4	39	125	47	1	16	200	103	139
Canon PowerShot A430	2006	2272	1600	4	39	156	47	1	16	210	103	139
Canon PowerShot A530	2006	2592	2048	5	35	140	45	5	16	220	90	149
Canon PowerShot A540	2006	2816	2272	6	35	140	45	5	16	230	90	149
Canon PowerShot A630	2006	3264	2592	8	35	140	0	1	16	315	109	139
Canon PowerShot A640	2006	3648	2816	10	35	140	0	1	32	315	109	139
Canon PowerShot A700	2006	2816	2272	6	35	210	55	1	16	250	94	139
Canon PowerShot A710 IS	2006	3072	2592	7	35	210	55	1	16	210	98	139
Canon EOS 30D	2006	3504	2544	8	0	0	0	0	0	784	144	1299
Canon EOS 400D / Digital Rebel XTi	2006	3888	2816	10	0	0	0	0	0	556	127	1299
Canon PowerShot G7	2006	3648	2816	10	35	210	50	1	32	380	106	499
Canon PowerShot S3 IS	2006	2816	2272	6	36	432	50	10	16	510	113	399
Canon PowerShot SD40	2006	3072	2592	7	38	90	0	10	16	120	96	199
Canon PowerShot SD600	2006	2816	2272	6	35	105	30	3	16	170	86	199
Canon PowerShot SD630	2006	2816	2272	6	35	105	30	3	16	175	90	199
Canon PowerShot SD700 IS	2006	2816	2272	6	35	140	45	2	16	195	90	384
Canon PowerShot SD800 IS	2006	3072	2592	7	28	105	0	3	16	195	90	384
Canon PowerShot SD900	2006	3648	2816	10	37	111	0	5	32	205	91	199
Casio Exilim EX-S600d	2006	2816	2304	6	38	114	40	15	8	155	90	249
Casio Exilim EX-Z1000	2006	3648	2560	10	38	114	40	6	8	185	92	329
Casio Exilim EX-Z5	2006	2560	2304	4	38	114	40	10	8	160	95	329
Casio Exilim EX-Z60	2006	2816	2304	6	38	114	40	10	8	148	95	329
Casio Exilim EX-Z70	2006	3072	2560	7	38	114	40	10	8	140	95	199
Casio Exilim EX-Z700	2006	3072	2560	7	38	114	40	15	8	154	89	329
Casio Exilim EX-S770	2006	3072	2560	7	38	114	40	15	6	176	95	249
Casio Exilim EX-Z850	2006	3264	2816	8	38	114	40	10	8	185	89	249
Fujifilm FinePix A400 Zoom	2006	2303	1600	4	38	114	60	10	12	170	93	169
Fujifilm FinePix A500 Zoom	2006	2592	2048	5	38	114	60	10	12	170	93	169
Fujifilm FinePix A600 Zoom	2006	2848	2048	6	36	108	50	10	12	195	93	169
Fujifilm FinePix F20 Zoom	2006	2848	2048	6	36	108	60	5	10	190	94	169
Fujifilm FinePix F30 Zoom	2006	2848	2048	6	36	108	60	5	10	185	93	169
Fujifilm FinePix F31 fd	2006	2848	2048	6	36	108	60	5	26	185	93	199
Fujifilm FinePix F470 Zoom	2006	2816	2048	6	35	105	70	10	16	150	92	169
Fujifilm FinePix F650 Zoom	2006	2816	2048	6	36	180	60	3	32	200	105	169
Fujifilm FinePix S6000 fd	2006	2848	2048	6	28	300	40	10	10	700	131	399
Fujifilm FinePix S9100	2006	3488	2592	9	28	300	0	0	0	750	128	229
Fujifilm FinePix V10 Zoom	2006	2592	2048	5	36	130	60	9	16	185	83	179
Fujifilm FinePix Z3	2006	2592	2048	5	36	108	60	8	10	170	89	179
Fujifilm FinePix S5 Pro	2006	4256	3024	6	0	0	0	0	0	920	147	1699
HP Photosmart E327	2006	2560	2048	5	35	35	60	0	16	170	96	179
HP Photosmart M425	2006	2576	2080	5	38	114	50	12	32	172	109	179
HP Photosmart M525	2006	2800	2288	6	38	114	50	12	16	192	96	179
HP Photosmart M527	2006	2800	2288	6	38	114	50	12	16	227	99	179
HP Photosmart R725	2006	2864	2592	6	39	118	50	10	32	136	94	179
HP Photosmart R727	2006	2864	2592	6	39	118	50	5	32	190	91	179
HP Photosmart R927	2006	3296	2592	8	35	105	50	10				179
Kodak C433	2006	2304	2048	4	36	108	60	10	16	180	91	126
Kodak C533	2006	2576	2048	5	37	111	60	10	16	200	91	126
Kodak C643	2006	2848	2304	6	36	108	60	13	22	195	92	126
Kodak C663	2006	2832	2304	6	34	102	60	5	32	190	85	126
Kodak C743	2006	3072	2304	7	37	111	60	13	32	195	92	126
Kodak C875	2006	3264	2560	8	37	185	60	10	32	225	91	126
Kodak P712	2006	3072	2592	7	36	432	50	10	32	440	108	126
Kodak V570	2006	2569	2576	5	39	117	0	0	32	175	101	129
Kodak V610	2006	2832	2304	6	38	380	0	0	32	195	111	129
Kodak V705	2006	3072	2576	7	23	117	60	5	32	165	101	126
Kodak Z612	2006	2848	2304	6	35	420	50	10	32	330	104	129
Kodak Z650	2006	2848	2304	6	38	380	60	12	32	320	98	126
Kodak Z710	2006	3072	2592	7	38	380	60	12	32	360	98	126
Leica C-LUX 1	2006	2816	2048	6	28	102	50	5	16	155	94	509
Leica Digilux 3	2006	3136	2560	7	0	0	0	0	0	606	146	269
Leica D-LUX 3	2006	4224	3840	10	28	112	50	5	13	220	106	509
Leica M8	2006	3936	2952	10	0	0	0	0	0	591	139	146
Leica V-LUX 1	2006	3648	3264	10	35	420	30	5	32	734	141	509
Nikon Coolpix L2	2006	2816	2048	6	38	116	30	10	23	170	91	99
Nikon Coolpix L3	2006	2592	2048	5	38	116	30	10	23	170	91	99
Nikon Coolpix L4	2006	2272	1600	3	38	114	30	4	10	165	87	99
Nikon Coolpix L5	2006	3072	2592	7	38	190	50	4	8	210	97	99
Nikon Coolpix L6	2006	2816	2048	6	38	116	30	10	23	175	91	99
Nikon Coolpix P3	2006	3264	2592	8	36	126	30	4	23	200	92	229
Nikon Coolpix P4	2006	3264	2592	8	36	126	30	4	23	200	92	229
Nikon Coolpix S10	2006	2816	2048	6	38	380	30	4	16	280	113	99
Nikon Coolpix S5	2006	2816	2048	6	35	105	30	4	21	165	93	229
Nikon Coolpix S6	2006	2816	2048	6	35	105	30	4	20	170	101	199
Nikon Coolpix S7c	2006	3072	2592	7	35	105	30	4	14	170	101	199
Nikon Coolpix S9	2006	2816	2048	6	38	114	25	4	24	165	91	199
Nikon D2Xs	2006	4288	3216	12	0	0	0	0	0	1200	158	4699
Nikon D40	2006	3008	2256	6	0	0	0	0	0	522	124	549
Nikon D80	2006	3872	2896	10	0	0	0	0	0	668	132	1199
Olympus E-330	2006	3136	2560	7	0	0	0	0	0	616	140	1699
Olympus E-400	2006	3648	3200	10	0	0	0	0	0	435	130	1699
Olympus FE-115	2006	2560	1600	5	38	106	50	2	28	160	88	129
Olympus FE-130	2006	2592	2048	5	38	114	10	5	22	160	96	129
Olympus FE-140	2006	2816	2048	6	38	114	10	5	22	160	96	129
Olympus FE-150	2006	2560	2048	5	32	96	50	6	9	175	90	129
Olympus FE-170	2006	2816	2048	6	38	114	0	0	10	175	90	129
Olympus FE-180	2006	2816	2048	6	38	114	0	0	10	170	88	179
Olympus FE-190	2006	2816	2048	6	38	114	0	0	22	150	91	129
Olympus FE-200	2006	2816	2048	6	28	140	0	0	24	195	98	129
Olympus SP-320	2006	3072	2592	7	38	114	20	2	25	230	100	449
Olympus SP-510 UZ	2006	3072	2560	7	38	380	60	3	0	410	106	449
Olympus Stylus 1000	2006	3648	2560	10	35	105	60	10	0	195	97	229
Olympus Stylus 700 	2006	3072	2560	7	37	111	60	8	19	140	95	229
Olympus Stylus 720 SW 	2006	3072	2560	7	37	111	60	8	19	190	95	299
Olympus Stylus 725 SW	2006	3072	2560	7	38	114	60	2	19	190	91	299
Olympus Stylus 730	2006	3072	2560	7	38	114	50	7	22	190	96	229
Olympus Stylus 740	2006	3072	2560	7	36	180	70	3	17	160	96	229
Olympus Stylus 750	2006	3072	2560	7	36	180	70	3	17	170	96	229
Olympus Stylus 810 	2006	3264	2560	8	35	105	60	10	28	185	97	249
Panasonic Lumix DMC-FX01	2006	2816	2048	6	28	102	50	5	16	155	94	1499
Panasonic Lumix DMC-FX07	2006	3072	2560	7	28	102	50	5	0	170	94	1499
Panasonic Lumix DMC-FX3	2006	2816	2048	6	35	105	50	5	13	165	94	299
Panasonic Lumix DMC-FX50	2006	3072	2560	7	28	102	50	5	0	190	98	1499
Panasonic Lumix DMC-FZ50	2006	3648	3264	10	35	420	30	5	32	734	141	149
Panasonic Lumix DMC-FZ7	2006	2816	2304	6	36	432	30	5	16	340	113	149
Panasonic Lumix DMC-L1	2006	3136	2560	7	0	0	0	0	0	606	146	1499
Panasonic Lumix DMC-LS2	2006	2560	2048	5	35	105	50	5	14	188	111	1499
Panasonic Lumix DMC-LX2	2006	4224	3840	10	28	112	50	5	13	220	106	1499
Panasonic Lumix DMC-LZ3	2006	2560	2048	5	37	222	50	5	14	230	100	149
Panasonic Lumix DMC-LZ5	2006	2816	2048	6	37	222	50	5	14	230	100	149
Panasonic Lumix DMC-TZ1	2006	2560	2048	4	35	350	40	5	13	250	112	299
Pentax *ist DL2	2006	3008	2400	6	0	0	0	0	0	565	125	799
Pentax K100D	2006	3008	2400	6	0	0	0	0	0	660	129	509
Pentax K10D	2006	3872	3008	10	0	0	0	0	0	793	142	799
Pentax K110D	2006	3008	2400	6	0	0	0	0	0	585	129	509
Pentax Optio A10	2006	3264	2592	8	38	114	35	6	24	145	89	249
Pentax Optio A20	2006	3648	3072	10	38	114	35	6	22	145	89	149
Pentax Optio E10	2006	2816	2272	6	34	102	50	5	10	180	87	149
Pentax Optio E20	2006	2816	2272	6	34	102	50	5	13	180	90	149
Pentax Optio M10	2006	2816	2560	6	35	105	70	10	22	170	89	249
Pentax Optio M20	2006	3072	2560	7	38	114	40	5	22	180	94	149
Pentax Optio S7	2006	3072	2592	7	37	112	40	15	23	120	86	149
Pentax Optio T10	2006	2816	2592	6	37	112	40	15	12	155	95	249
Pentax Optio T20	2006	3072	2592	7	37	112	40	15	12	155	95	149
Pentax Optio W10	2006	2816	2560	6	38	114	40	1	10	160	107	269
Pentax Optio W20	2006	3072	2560	7	38	114	40	1	21	150	107	269
Ricoh Caplio 500G	2006	3264	2592	8	28	85	30	1	26	450	133	229
Ricoh Caplio R30	2006	2560	2048	4	28	160	30	1	28	180	95	99
Ricoh Caplio R4	2006	2816	2048	6	28	200	30	1	26	165	95	99
Ricoh Caplio R40	2006	2816	2048	6	28	160	30	1	26	165	95	199
Ricoh Caplio R5	2006	3072	2592	7	28	200	30	1	26	165	96	99
Ricoh Caplio RR630	2006	2816	2048	6	36	108	50	6	12	200	91	399
Samsung GX-10	2006	3872	3008	10	0	0	0	0	0	793	142	199
Samsung GX-1L	2006	3008	2400	6	0	0	0	0	0	570	125	299
Samsung GX-1S	2006	3008	2400	6	0	0	0	0	0	605	125	299
Samsung Digimax i6	2006	2816	2592	6	39	117	50	1	45	0	96	229
Samsung NV10	2006	3648	3136	10	35	105	80	4	20	190	97	229
Samsung NV3	2006	3072	2816	7	38	114	80	1	15	155	95	229
Samsung NV7 OPS	2006	3072	2688	7	38	270	80	1	19	290	106	229
Sigma DP1	2006	2640	1776	4	28	28	0	0	0	270	109	1599
Sigma SD14	2006	2640	1776	4	0	0	0	0	0	750	144	19
Sony DSC-H2	2006	2816	2048	6	36	432	50	2	32	490	108	429
Sony DSC-H5	2006	3072	2592	7	36	432	50	2	32	490	108	429
Sony DSC-N2	2006	3264	2592	10	38	114	50	6	32	139	94	399
Sony DSC-S600	2006	2816	2048	6	31	93	12	0	32	180	100	149
Sony DSC-T10	2006	3072	2592	7	38	114	50	1	56	168	90	399
Sony DSC-T30	2006	3072	2592	7	38	114	50	1	58	172	95	399
Sony DSC-T50	2006	3072	2592	7	38	114	50	1	58	170	95	399
Sony DSC-W100	2006	3264	2592	8	38	114	50	6	64	192	94	149
Sony DSC-W30	2006	2816	2048	6	38	114	50	2	32	153	90	149
Sony DSC-W50	2006	2816	2048	6	38	114	50	2	32	157	89	149
Sony DSC-W70	2006	3072	2592	7	38	114	50	2	58	157	89	149
Sony DSLR-A100	2006	3872	3896	10	0	0	0	0	0	638	133	599
Canon PowerShot A450	2007	2592	2048	5	38	122	47	1	16	215	106	139
Canon PowerShot A460	2007	2592	2048	5	38	152	47	1	16	215	106	139
Canon PowerShot A550	2007	3072	2592	7	35	140	45	5	16	210	91	149
Canon PowerShot A560	2007	3072	2592	7	35	140	45	5	16	205	91	149
Canon PowerShot A570 IS	2007	3072	2592	7	35	140	45	5	16	215	90	149
Canon PowerShot A650 IS	2007	4000	3264	12	35	210	0	1	32	300	97	399
Canon PowerShot A720 IS	2007	3264	2592	8	35	210	55	1	16	250	97	399
Canon EOS-1D Mark III	2007	3888	3456	10	0	0	0	0	0	1335	156	4499
Canon EOS-1Ds Mark III	2007	5616	4992	21	0	0	0	0	0	1385	150	7999
Canon EOS 40D	2007	3888	2816	10	0	0	0	0	0	822	146	1299
Canon PowerShot G9	2007	4000	3264	12	35	210	50	1	32	370	106	499
Canon PowerShot S5 IS	2007	3264	2272	8	36	432	50	10	32	550	117	399
Canon PowerShot SD1000	2007	3072	2592	7	35	105	0	5	32	175	86	199
Canon PowerShot SD750	2007	3072	2592	7	35	105	0	5	32	170	92	384
Canon PowerShot SD850 IS	2007	3264	2272	8	35	140	45	2	32	195	90	384
Canon PowerShot SD870 IS	2007	3264	2592	8	28	105	45	2	32	165	93	384
Canon PowerShot SD950 IS	2007	4000	3264	12	36	133	50	5	32	205	96	384
Canon PowerShot SX100 IS	2007	3264	2592	8	36	360	50	1	32	316	109	299
Canon PowerShot TX1	2007	3072	2592	7	39	390	50	10	0	260	89	139
Casio Exilim EX-S880	2007	3264	2816	8	38	114	50	15	10	138	94.5	249
Casio Exilim EX-V7	2007	3072	2560	7	38	266	30	10	11	190	96	299
Casio Exilim EX-V8	2007	3264	2816	8	38	266	40	10	11	199	96	299
Casio Exilim EX-Z1050	2007	3648	2560	10	38	114	40	10	15	165	91	329
Casio Exilim EX-Z1080	2007	3648	2560	10	38	114	40	10	11	165	91	329
Casio Exilim EX-Z1200 SR	2007	4000	3264	12	37	111	40	6	11	162	93	329
Casio Exilim EX-Z75	2007	3072	2560	7	38	114	40	10	8	156	95	199
Casio Exilim EX-Z77	2007	3072	2560	7	38	114	40	10	11	128	95	199
Fujifilm FinePix A610	2007	2848	2048	6	39	117	60	10	10	195	98	169
Fujifilm FinePix A800	2007	3296	2304	8	36	108	50	10	10	200	98	169
Fujifilm FinePix A820	2007	3296	2304	8	39	156	60	10	10	205	98	169
Fujifilm FinePix A900	2007	3488	2048	9	39	156	60	10	10	205	98	169
Fujifilm FinePix A920	2007	3488	2592	9	39	156	60	10	10	206	98	169
Fujifilm FinePix F40 fd	2007	3296	2304	8	36	108	45	7	25	181	96	199
Fujifilm FinePix F480 Zoom	2007	3264	2304	8	28	112	40	5	12	170	96	169
Fujifilm FinePix F50 fd	2007	4000	2848	12	35	105	45	7	25	205	93	199
Fujifilm FinePix IS-1	2007	3488	2592	9	28	300	0	0	0	750	128	169
Fujifilm FinePix S5700 Zoom	2007	3072	2304	7	38	380	30	10	27	406	106	229
Fujifilm FinePix S8000 fd	2007	3264	2304	8	27	486	70	10	58	510	111	399
Fujifilm FinePix Z10  fd	2007	3072	2304	7	38	114	60	8	54	160	91	399
Fujifilm FinePix IS Pro	2007	4256	3024	6	0	0	0	0	0	920	147	1699
HP Photosmart E337	2007	2576	0	5	36	36	100	0	16	170	96	179
HP Photosmart M437	2007	2576	0	5	38	114	50	10	16	190	95	179
HP Photosmart M537	2007	2848	0	6	38	114	50	0	32	157	90	179
HP Photosmart Mz67	2007	3264	0	8	35	210	0	14	32	157	90	179
HP Photosmart R742	2007	3096	0	7	36	108	50	3	32	190	91	179
HP Photosmart R837	2007	3112	0	7	39	118	50	12	32	227	105	179
HP Photosmart R937	2007	3298	0	8	39	118	50					179
Kodak C513	2007	2572	2048	5	36	108	60	13	16	188	91	126
Kodak C613	2007	2848	2048	6	36	108	60	13	16	187	91	126
Kodak C653	2007	2848	2304	6	36	108	60	10	22	195	89	126
Kodak C763	2007	3072	2592	7	35	105	60	5	32	180	90	126
Kodak M753	2007	3056	2592	7	37	111	40	7	16	165	93	126
Kodak M853	2007	3296	2592	8	37	111	40	7	16	165	93	146
Kodak M873	2007	3264	2592	8	38	114	70	10	32	160	92	146
Kodak M883	2007	3280	0	8	38	114	70	10	64	166	92	146
Kodak V1003	2007	3648	2560	10	36	108	60	5	24	185	103	129
Kodak V803	2007	3264	2560	8	36	108	60	5	24	185	103	146
Kodak Z1275	2007	4000	2832	12	35	175	60	10	64	211	90	129
Kodak Z712	2007	3072	2592	7	36	423	60	13	32	350	104	126
Kodak Z885	2007	3264	2592	8	36	180	60	7	32	211	90	146
Nikon Coolpix L10	2007	2560	2048	4	37	112	40	15	7	165	90	99
Nikon Coolpix L11	2007	2816	2048	6	37	112	40	15	7	175	90	99
Nikon Coolpix L12	2007	3072	2592	7	35	105	50	15	21	175	91	99
Nikon Coolpix L14	2007	3072	2048	7	38	114	60	10	23	225	91	129
Nikon Coolpix L15	2007	3264	2592	8	35	105	50	15	32	225	91	159
Nikon Coolpix P50	2007	3264	3200	8	28	102	50	5	52	210	95	229
Nikon Coolpix P5000	2007	3648	2592	10	36	126	30	4	26	240	98	399
Nikon Coolpix P5100	2007	4000	3264	12	35	123	30	4	52	250	98	399
Nikon Coolpix S200	2007	3072	2592	7	38	114	60	10	20	165	92	229
Nikon Coolpix S50	2007	3072	2592	7	38	114	30	4	13	165	88	229
Nikon Coolpix S500	2007	3072	2592	7	35	105	50	15	26	165	88	229
Nikon Coolpix S50c	2007	3072	2592	7	38	114	30	4	13	165	88	329
Nikon Coolpix S51	2007	3264	2592	7	38	114	30	4	13	175	93	279
Nikon Coolpix S510	2007	3264	3200	8	35	105	50	15	52	125	88	399
Nikon Coolpix S51c	2007	3264	2592	7	38	114	30	4	13	175	98	329
Nikon D3	2007	4256	3184	12	0	0	0	0	0	1300	160	4999
Nikon D300	2007	4288	3216	12	0	0	0	0	0	925	147	1799
Nikon D40X	2007	3872	2896	10	0	0	0	0	0	522	124	549
Olympus E-3	2007	3648	3200	10	0	0	0	0	0	800	142	1699
Olympus E-410	2007	3648	3200	10	0	0	0	0	0	435	130	1699
Olympus E-510	2007	3648	3200	10	0	0	0	0	0	490	136	1699
Olympus FE-210	2007	3072	2048	7	38	114	60	10	9	175	90	129
Olympus FE-230	2007	3072	2048	7	38	114	60	10	20	145	91	129
Olympus FE-240	2007	3072	2048	7	38	190	70	10	20	145	91	129
Olympus FE-250	2007	3264	2048	8	38	105	60	10	20	155	94	129
Olympus FE-270	2007	3072	2048	7	38	114	60	5	6	122	90	129
Olympus FE-280	2007	3264	2048	8	36	108	60	5	48	108	92	179
Olympus FE-290	2007	3072	2048	7	28	112	40	5	6	142	98	129
Olympus FE-300	2007	4000	2048	12	35	105	60	10	48	115	94	129
Olympus SP-550 UZ	2007	3072	2560	7	28	504	10	1	20	460	116	449
Olympus SP-560 UZ	2007	3264	2560	8	27	486	10	1	47	365	116	449
Olympus Stylus 1200	2007	4000	3264	12	35	105	60	10	47	125	98	249
Olympus Stylus 760	2007	3072	2560	7	37	111	60	8	18	160	99	229
Olympus Stylus 770 SW	2007	3072	2560	7	38	114	50	7	18	195	92	299
Olympus Stylus 780	2007	3072	2560	7	36	180	70	3	18	195	100	299
Olympus Stylus 790 SW	2007	3072	2560	7	38	114	50	7	14	155	92	299
Olympus Stylus 820	2007	3264	2560	8	36	180	70	3	47	125	96	249
Olympus Stylus 830	2007	3248	2560	8	36	180	70	3	14	125	100	249
Panasonic Lumix DMC-FX10	2007	2816	2048	6	35	105	50	5	27	155	94	1499
Panasonic Lumix DMC-FX100	2007	4000	3264	12	28	100	50	5	27	150	54	1499
Panasonic Lumix DMC-FX12	2007	3072	2560	7	35	105	50	5	27	155	94	1499
Panasonic Lumix DMC-FX30	2007	3072	2560	7	28	100	50	5	27	162	95	299
Panasonic Lumix DMC-FX33	2007	3264	2560	8	28	100	50	5	27	154	95	299
Panasonic Lumix DMC-FX55	2007	3264	2560	8	28	100	50	5	27	165	95	1499
Panasonic Lumix DMC-FZ18	2007	3264	2560	8	28	504	30	1	27	407	118	149
Panasonic Lumix DMC-FZ8	2007	3072	2560	7	36	432	30	5	27	340	113	149
Panasonic Lumix DMC-L10	2007	3648	2816	10	0	0	0	0	0	556	135	1499
Panasonic Lumix DMC-LS60	2007	2816	2048	6	35	105	50	5	27	188	94	149
Panasonic Lumix DMC-LS75	2007	3072	2560	7	35	105	50	5	27	188	94	1499
Panasonic Lumix DMC-LZ6	2007	3072	2560	7	37	222	50	5	27	230	99	149
Panasonic Lumix DMC-LZ7	2007	3072	2560	7	37	222	50	5	27	234	99	149
Panasonic Lumix DMC-TZ2	2007	2816	2048	6	28	280	50	5	13	260	105	299
Panasonic Lumix DMC-TZ3	2007	3072	2560	7	28	280	50	5	13	280	105	299
Pentax K100D Super	2007	3008	2400	6	0	0	0	0	0	646	129	509
Pentax Optio A30	2007	3648	3072	10	38	114	35	6	22	145	89	269
Pentax Optio E30	2007	3072	2592	7	36	108	50	15	11	190	95	149
Pentax Optio E40	2007	3264	2592	8	37	112	40	15	10	175	94	149
Pentax Optio M30	2007	3072	2592	7	38	114	40	10	22	120	97	269
Pentax Optio M40	2007	3264	2592	8	36	108	40	5	21	136	97	149
Pentax Optio S10	2007	3648	3072	10	38	114	35	6	22	116	86	249
Pentax Optio T30	2007	3072	2592	7	38	112	40	15	20	155	95	269
Pentax Optio W30	2007	3072	2560	7	38	114	40	1	21	155	108	269
Pentax Optio Z10	2007	3264	2592	8	38	266	40	8	0	0	94	249
Ricoh Caplio R6	2007	3072	2592	7	28	200	30	1	54	165	100	99
Ricoh Caplio R7	2007	3264	3264	8	28	200	30	1	24	135	100	99
Ricoh Caplio GX100	2007	3648	3264	10	24	72	30	1	26	260	112	399
Samsung i7	2007	3072	2592	7	38	114	80	5	450	210	101	119
Samsung i70	2007	3072	2592	7	38	114	80	5	20	180	90	199
Samsung i85	2007	3264	2592	8	36	108	80	5	173	0	95	149
Samsung L83T	2007	3264	2592	8	38	114	80	5	19	160	93	229
Samsung L700	2007	3072	2592	7	35	105	80	5	20	170	97	199
Samsung L73	2007	3072	2592	7	35	105	80	5	19	180	98	119
Samsung L730	2007	3264	2592	7	38	114	80	10	16	183	95	99
Samsung L74 Wide	2007	3072	2592	7	28	101	80	5	450	210	105	119
Samsung L77	2007	3072	2592	7	38	266	80	10	0	0	94	119
Samsung L830	2007	3264	2592	8	38	114	80	5	10	183	95	99
Samsung NV11	2007	3648	3136	10	35	190	80	1	0	240	107	229
Samsung NV15	2007	3648	2592	10	34	102	80	4	20	0	97	229
Samsung NV20	2007	4000	2592	12	34	102	80	4	20	0	97	229
Samsung NV8	2007	3264	2592	8	34	102	80	4	20	0	97	229
Samsung S1030	2007	3648	3476	10	35	105	80	4	45	220	100	199
Samsung S1050	2007	3648	3476	10	38	190	80	1	45	254	105	199
Samsung S630	2007	2816	2048	6	35	105	80	5	16	186	100	99
Samsung S730	2007	3072	2592	7	35	105	80	5	16	186	100	99
Samsung S830	2007	3264	3072	8	35	105	80	4	45	220	100	99
Samsung S85	2007	3264	2592	8	38	190	80	1	20	204	100	149
Samsung S850	2007	3264	2592	8	38	190	80	1	20	222	104	149
Sony DSC-G1	2007	2816	2048	6	38	114	50	8	2	238	93	429
Sony DSC-H3	2007	3264	3264	8	38	380	50	2	31	264	106	429
Sony DSC-H7	2007	3264	2592	8	31	465	50	2	31	405	110	429
Sony DSC-H9	2007	3264	2592	8	31	465	50	2	31	440	110	429
Sony DSC-S650	2007	3072	2592	7	35	105	35	5	24	178	91	149
Sony DSC-S700	2007	3072	2592	7	35	105	35	5	24	178	91	149
Sony DSC-S800	2007	3264	2592	8	37	222	50	2	54	245	93	149
Sony DSC-T100	2007	3264	2592	8	35	175	50	1	31	197	92	399
Sony DSC-T20	2007	3264	2592	8	38	114	50	1	31	197	90	399
Sony DSC-T200	2007	3264	3264	8	35	175	50	1	31	160	94	399
Sony DSC-W200	2007	4000	3264	12	35	105	34	5	31	195	91	399
Sony DSC-W35	2007	3072	2592	7	38	114	30	2	56	149	90	429
Sony DSC-W55	2007	3072	2592	7	38	114	30	2	56	147	90	429
Sony DSC-W80	2007	3072	2592	7	35	105	50	4	31	175	91	149
Sony DSC-W90	2007	3254	2592	8	35	105	50	4	31	175	91	429
Sony DSLR-A700	2007	4272	3104	12	0	0	0	0	0	768	142	599
